,element,pos_prob,pri_prob
0,"(3, 4, 6, 1)",3.22261084509e-88,1.91750769352e-90
1,"(3, 4, 7, 5)",1.37906468348e-87,1.41772477385e-87
2,"(3, 8, 7, 5)",2.06865563047e-91,1.30442639693e-92
3,"(5, 8, 7, 9)",8.79586523321e-95,5.5463841468e-96
4,"(5, 6, 7, 1)",6.34242312052e-96,1.22754326464e-98
5,"(7, 4, 6, 5)",1.99319760176e-92,8.67934498453e-93
6,"(5, 8, 6, 1)",1.45906351009e-94,1.73212759198e-98
7,"(3, 4, 6, 5)",2.82973702821e-86,4.10734721964e-87
8,"(7, 6, 1, 5)",7.04713680058e-97,1.22754326464e-98
9,"(3, 8, 7, 9)",2.91417613642e-92,5.64930251532e-93
10,"(3, 4, 7, 1)",1.57053067503e-89,6.61862271624e-91
11,"(5, 4, 6, 1)",9.72681449766e-91,1.8825747504e-93
12,"(3, 4, 6, 9)",3.98633392551e-87,1.77883911532e-87
13,"(5, 4, 1, 9)",3.17945565309e-90,1.30751769221e-91
14,"(3, 8, 6, 1)",4.83405321693e-92,1.76426884673e-95
15,"(7, 8, 1, 5)",7.90078503824e-97,5.9787499505e-99
16,"(5, 8, 7, 1)",7.11070653442e-96,5.9787499505e-99
17,"(3, 6, 7, 5)",1.84514565966e-91,2.67821844203e-92
18,"(3, 8, 6, 5)",4.24472579589e-90,3.77910595448e-92
19,"(7, 4, 1, 9)",7.41983556784e-94,2.81421965957e-94
20,"(3, 4, 1, 9)",1.05339196831e-87,1.33177991136e-88
21,"(5, 6, 7, 9)",7.84550715883e-95,1.13877090678e-95
22,"(3, 8, 1, 5)",1.12167222933e-90,2.82933816203e-93
23,"(5, 6, 1, 9)",4.25401278756e-94,2.47002666607e-96
